run_id,best_C,best_gamma,best_kernel,accuracy,TN,FP,FN,TP
1,2048.0,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
2,2048.0,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
3,2048.0,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
4,2048.0,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
5,2048.0,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
6,2048.0,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
7,2048.0,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
8,330.3487903225806,0.004058837890625,rbf,0.8901734104046243,84,7,12,70
8,66.09475806451613,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
9,330.3487903225806,0.004058837890625,rbf,0.8901734104046243,84,7,12,70
